"east" "north" "pcbs"
"1" 68504 76800.5 9
"2" 68353.1 76868.5 6
"3" 68405.3 76709.1 11
"4" 68546.4 76631.1 25
"5" 68510.1 77090.6 11
"6" 68269.4 76407.3 9
"7" 68051.5 76254.2 3
"8" 68436.8 75869.5 7
"9" 68238.7 75726.7 6
"10" 68271.2 75547.2 5
"11" 68304 75337.6 9
"12" 68489.8 74920.1 8
"13" 68851.7 74785 6.8
"14" 68879.8 74925.4 13
"15" 68834.6 75304.9 78
"16" 68860.4 75605.2 9.8
"17" 68767.3 75834 5
"18" 68755.7 75223.8 14
"19" 68539.1 75700.9 7
"20" 69027.7 75807.6 13
"21" 68830.5 77065 11
"22" 68913.6 76836.1 5
"23" 68867.8 76525.5 12
"24" 68918.4 76486.1 9
"25" 69037.7 76537.8 7
"26" 69255.2 76720.8 13
"27" 69180.4 76339.7 16
"28" 69281.1 76291.1 29
"29" 69232.9 76160.4 3
"30" 68850.2 76355.2 6
"31" 69014.1 76067.4 12
"32" 69446.6 75893.3 4620
"33" 69267.8 75800.8 45
"34" 69216.7 75880.2 13
"35" 68655.1 75992.5 11
"36" 69129.5 75678.9 16
"37" 69259.2 75700.7 36
"38" 69441 75573.2 30
"39" 69448.5 75753.3 72
"40" 69597.7 75815.4 44
"41" 69665.9 75946.3 79
"42" 69505.5 75974.1 89
"43" 69474.7 76033.7 94
"44" 69425.1 76003 284
"45" 69403.2 76142.7 26
"46" 69461.5 76263.6 10
"47" 69524.7 76034.4 27
"48" 69552.9 76164.8 17
"49" 69721.6 76257.1 15
"50" 69798.3 76498.2 19
"51" 69547.5 76554.8 11
"52" 69520.1 76364.4 9.1
"53" 69338.2 76501.9 12
"54" 69613 76885.7 11
"55" 69914.4 76789.8 6.7
"56" 70017.8 76541.2 7
"57" 69776.7 75887.8 14
"58" 69750.3 75627.4 20
"59" 70089 75722.1 8.7
"60" 69281 75571 23
"61" 69584.4 75325.1 19
"62" 69123.9 75358.8 11
"63" 69236.2 75190.3 4.4
"64" 69130.3 74888.9 9.6
"65" 69590.7 74865.2 8
"66" 69578.6 75015 7.8
"67" 69851.9 74778.7 5.9
"68" 70138.3 75042.7 10
"69" 70053.7 75381.6 8.8
"70" 69314 76081.5 1285
